index,title,authors,year,venue,id,references,abstract,ISCITED_COUNT,AUTHOR_COUNT,REF_COUNT,MAIN_AUTHOR,SECONDARY_AUTHORS,TITLE_TOKEN,ABSTRACT_TOKEN
432762,Predicate Migration Optimizing Queries with Expensive Predicates,"['Joseph M. Hellerstein', 'Michael Stonebraker']",1993,SIGMOD Conference,598853,"['642251', '1112681', '642447', '772568', '1112850', '545150', '1118397', '642889', '643036', '643176', '1093030', '643207', '521198', '599557', '1553726', '643615', '599627', '599841', '599849', '599833', '494', '1113697', '2123', '2500']",The traditional focus of relational query optimization schemes has been on the choice of join methods and join orders Restrictions have typically been handled in query optimizers by ldquopredicate pushdownrdquo rules which apply restrictions in some random order before as many joins as possible These rules work under the assumption that restriction is essentially a zerotime operation However todays extensible and objectoriented database systems allow users to define timeconsuming functions which may be used in a querys restriction and join predicates Furthermore SQL has long supported subquery predicates which may be arbitrarily timeconsuming to check Thus restrictions should not be considered zerotime operations and the model of query optimization must be enhanced In this paper we develop a theory for moving expensive predicates in a query plan so that the total cost of the plan mdash including the costs of both joins and restrictions mdash is minimal We present an algorithm to implement the theory as well as results of our implementation in POSTGRES Our experience with the newly enhanced POSTGRES query optimizer demonstrates that correctly optimizing queries with expensive predicates often produces plans that are orders of magnitude faster than plans generated by a traditional query optimizer The additional complexity of considering expensive predicates during optimization is found to be manageably small,90,2,24,Joseph M. Hellerstein,['Michael Stonebraker'],"['predicate', 'migration', 'optimizing', 'queries', 'with', 'expensive', 'predicates']","['the', 'traditional', 'focus', 'of', 'relational', 'query', 'optimization', 'schemes', 'has', 'been', 'on', 'the', 'choice', 'of', 'join', 'methods', 'and', 'join', 'orders', 'restrictions', 'have', 'typically', 'been', 'handled', 'in', 'query', 'optimizers', 'by', 'ldquopredicate', 'pushdownrdquo', 'rules', 'which', 'apply', 'restrictions', 'in', 'some', 'random', 'order', 'before', 'as', 'many', 'joins', 'as', 'possible', 'these', 'rules', 'work', 'under', 'the', 'assumption', 'that', 'restriction', 'is', 'essentially', 'a', 'zerotime', 'operation', 'however', 'todays', 'extensible', 'and', 'objectoriented', 'database', 'systems', 'allow', 'users', 'to', 'define', 'timeconsuming', 'functions', 'which', 'may', 'be', 'used', 'in', 'a', 'querys', 'restriction', 'and', 'join', 'predicates', 'furthermore', 'sql', 'has', 'long', 'supported', 'subquery', 'predicates', 'which', 'may', 'be', 'arbitrarily', 'timeconsuming', 'to', 'check', 'thus', 'restrictions', 'should', 'not', 'be', 'considered', 'zerotime', 'operations', 'and', 'the', 'model', 'of', 'query', 'optimization', 'must', 'be', 'enhanced', 'in', 'this', 'paper', 'we', 'develop', 'a', 'theory', 'for', 'moving', 'expensive', 'predicates', 'in', 'a', 'query', 'plan', 'so', 'that', 'the', 'total', 'cost', 'of', 'the', 'plan', 'mdash', 'including', 'the', 'costs', 'of', 'both', 'joins', 'and', 'restrictions', 'mdash', 'is', 'minimal', 'we', 'present', 'an', 'algorithm', 'to', 'implement', 'the', 'theory', 'as', 'well', 'as', 'results', 'of', 'our', 'implementation', 'in', 'postgres', 'our', 'experience', 'with', 'the', 'newly', 'enhanced', 'postgres', 'query', 'optimizer', 'demonstrates', 'that', 'correctly', 'optimizing', 'queries', 'with', 'expensive', 'predicates', 'often', 'produces', 'plans', 'that', 'are', 'orders', 'of', 'magnitude', 'faster', 'than', 'plans', 'generated', 'by', 'a', 'traditional', 'query', 'optimizer', 'the', 'additional', 'complexity', 'of', 'considering', 'expensive', 'predicates', 'during', 'optimization', 'is', 'found', 'to', 'be', 'manageably', 'small']"
539804,Solving the Multiple Instance Problem with AxisParallel Rectangles,"['Thomas G. Dietterich', 'Richard H. Lathrop', 'Tomás Lozano-Pérez']",1997,Artif Intell,744738,[],,93,3,0,Thomas G. Dietterich,"['Richard H. Lathrop', 'Tomás Lozano-Pérez']","['solving', 'the', 'multiple', 'instance', 'problem', 'with', 'axisparallel', 'rectangles']",[]
432607,The EXODUS Optimizer Generator,"['Goetz Graefe', 'David J. DeWitt']",1987,SIGMOD Conference,598655,"['1118192', '642099', '521220', '598438', '642471', '598633', '598632', '772568', '832669', '599048', '950880', '1196257', '521192', '521200', '599580', '599627', '1118657', '776156', '1118678', '599849', '643917', '1118735', '644069', '599999', '2795']",This paper presents the design and an initial performance evaluation of the query optimizer generator designed for the EXODUS extensible database system Algebraic transformation rules are translated into an executable query optimizer which transforms query trees and selects methods for executing operations according to cost functions associated with the methods The search strategy avoids exhaustive search and it modifies itself to take advantage of past experience Computational results show that an optimizer generated for a relational system produces access plans almost as good as those produced by exhaustive search with the search time cut to a small fraction,110,2,25,Goetz Graefe,['David J. DeWitt'],"['the', 'exodus', 'optimizer', 'generator']","['this', 'paper', 'presents', 'the', 'design', 'and', 'an', 'initial', 'performance', 'evaluation', 'of', 'the', 'query', 'optimizer', 'generator', 'designed', 'for', 'the', 'exodus', 'extensible', 'database', 'system', 'algebraic', 'transformation', 'rules', 'are', 'translated', 'into', 'an', 'executable', 'query', 'optimizer', 'which', 'transforms', 'query', 'trees', 'and', 'selects', 'methods', 'for', 'executing', 'operations', 'according', 'to', 'cost', 'functions', 'associated', 'with', 'the', 'methods', 'the', 'search', 'strategy', 'avoids', 'exhaustive', 'search', 'and', 'it', 'modifies', 'itself', 'to', 'take', 'advantage', 'of', 'past', 'experience', 'computational', 'results', 'show', 'that', 'an', 'optimizer', 'generated', 'for', 'a', 'relational', 'system', 'produces', 'access', 'plans', 'almost', 'as', 'good', 'as', 'those', 'produced', 'by', 'exhaustive', 'search', 'with', 'the', 'search', 'time', 'cut', 'to', 'a', 'small', 'fraction']"
464240,ModelDriven Data Acquisition in Sensor Networks,"['Amol Deshpande', 'Carlos Guestrin', 'Samuel Madden', 'Joseph M. Hellerstein', 'Wei Hong']",2004,VLDB,642502,"['598851', '599244', '598361', '775186', '599445', '642581', '806683', '505650', '599443', '598747', '598741', '598513', '299757']",Declarative queries are proving to be an attractive paradigm for ineracting with networks of wireless sensors The metaphor that the sensornet is a database is problematic however because sensors do not exhaustively represent the data in the real world In order to map the raw sensor readings onto physical reality a model of that reality is required to complement the readings In this paper we enrich interactive sensor querying with statistical modeling techniques We demonstrate that such models can help provide answers that are both more meaningful and by introducing approximations with probabilistic confidences significantly more efficient to compute in both time and energy Utilizing the combination of a model and live data acquisition raises the challenging optimization problem of selecting the best sensor readings to acquire balancing the increase in the confidence of our answer against the communication and data acquisition costs in the network We describe an exponential time algorithm for finding the optimal solution to this optimization problem and a polynomialtime heuristic for identifying solutions that perform well in practice We evaluate our approach on several realworld sensornetwork data sets taking into account the real measured data and communication quality demonstrating that our modelbased approach provides a highfidelity representation of the real phenomena and leads to significant performance gains versus traditional data acquisition techniques,109,5,13,Amol Deshpande,"['Carlos Guestrin', 'Samuel Madden', 'Joseph M. Hellerstein', 'Wei Hong']","['modeldriven', 'data', 'acquisition', 'in', 'sensor', 'networks']","['declarative', 'queries', 'are', 'proving', 'to', 'be', 'an', 'attractive', 'paradigm', 'for', 'ineracting', 'with', 'networks', 'of', 'wireless', 'sensors', 'the', 'metaphor', 'that', 'the', 'sensornet', 'is', 'a', 'database', 'is', 'problematic', 'however', 'because', 'sensors', 'do', 'not', 'exhaustively', 'represent', 'the', 'data', 'in', 'the', 'real', 'world', 'in', 'order', 'to', 'map', 'the', 'raw', 'sensor', 'readings', 'onto', 'physical', 'reality', 'a', 'model', 'of', 'that', 'reality', 'is', 'required', 'to', 'complement', 'the', 'readings', 'in', 'this', 'paper', 'we', 'enrich', 'interactive', 'sensor', 'querying', 'with', 'statistical', 'modeling', 'techniques', 'we', 'demonstrate', 'that', 'such', 'models', 'can', 'help', 'provide', 'answers', 'that', 'are', 'both', 'more', 'meaningful', 'and', 'by', 'introducing', 'approximations', 'with', 'probabilistic', 'confidences', 'significantly', 'more', 'efficient', 'to', 'compute', 'in', 'both', 'time', 'and', 'energy', 'utilizing', 'the', 'combination', 'of', 'a', 'model', 'and', 'live', 'data', 'acquisition', 'raises', 'the', 'challenging', 'optimization', 'problem', 'of', 'selecting', 'the', 'best', 'sensor', 'readings', 'to', 'acquire', 'balancing', 'the', 'increase', 'in', 'the', 'confidence', 'of', 'our', 'answer', 'against', 'the', 'communication', 'and', 'data', 'acquisition', 'costs', 'in', 'the', 'network', 'we', 'describe', 'an', 'exponential', 'time', 'algorithm', 'for', 'finding', 'the', 'optimal', 'solution', 'to', 'this', 'optimization', 'problem', 'and', 'a', 'polynomialtime', 'heuristic', 'for', 'identifying', 'solutions', 'that', 'perform', 'well', 'in', 'practice', 'we', 'evaluate', 'our', 'approach', 'on', 'several', 'realworld', 'sensornetwork', 'data', 'sets', 'taking', 'into', 'account', 'the', 'real', 'measured', 'data', 'and', 'communication', 'quality', 'demonstrating', 'that', 'our', 'modelbased', 'approach', 'provides', 'a', 'highfidelity', 'representation', 'of', 'the', 'real', 'phenomena', 'and', 'leads', 'to', 'significant', 'performance', 'gains', 'versus', 'traditional', 'data', 'acquisition', 'techniques']"
72844,Modelbased Feedback in the Language Modeling Approach to Information Retrieval,"['ChengXiang Zhai', 'John D. Lafferty']",2001,CIKM,96007,"['595759', '594518', '595979', '595200', '596024', '937019', '629729', '595386', '595266', '595551']",The language modeling approach to retrieval has been shown to perform well empirically One advantage of this new approach is its statistical foundations However feedback as one important component in a retrieval system has only been dealt with heuristically in this new retrieval approach the original query is usually literally expanded by adding additional terms to it Such expansionbased feedback creates an inconsistent interpretation of the original and the expanded query In this paper we present a more principled approach to feedback in the language modeling approach Specifically we treat feedback as updating the query language model based on the extra evidence carried by the feedback documents Such a modelbased feedback strategy easily fits into an extension of the language modeling approach We propose and evaluate two different approaches to updating a query language model based on feedback documents one based on a generative probabilistic model of feedback documents and one based on minimization of the KLdivergence over feedback documents Experiment results show that both approaches are effective and outperform the Rocchio feedback approach,97,2,10,ChengXiang Zhai,['John D. Lafferty'],"['modelbased', 'feedback', 'in', 'the', 'language', 'modeling', 'approach', 'to', 'information', 'retrieval']","['the', 'language', 'modeling', 'approach', 'to', 'retrieval', 'has', 'been', 'shown', 'to', 'perform', 'well', 'empirically', 'one', 'advantage', 'of', 'this', 'new', 'approach', 'is', 'its', 'statistical', 'foundations', 'however', 'feedback', 'as', 'one', 'important', 'component', 'in', 'a', 'retrieval', 'system', 'has', 'only', 'been', 'dealt', 'with', 'heuristically', 'in', 'this', 'new', 'retrieval', 'approach', 'the', 'original', 'query', 'is', 'usually', 'literally', 'expanded', 'by', 'adding', 'additional', 'terms', 'to', 'it', 'such', 'expansionbased', 'feedback', 'creates', 'an', 'inconsistent', 'interpretation', 'of', 'the', 'original', 'and', 'the', 'expanded', 'query', 'in', 'this', 'paper', 'we', 'present', 'a', 'more', 'principled', 'approach', 'to', 'feedback', 'in', 'the', 'language', 'modeling', 'approach', 'specifically', 'we', 'treat', 'feedback', 'as', 'updating', 'the', 'query', 'language', 'model', 'based', 'on', 'the', 'extra', 'evidence', 'carried', 'by', 'the', 'feedback', 'documents', 'such', 'a', 'modelbased', 'feedback', 'strategy', 'easily', 'fits', 'into', 'an', 'extension', 'of', 'the', 'language', 'modeling', 'approach', 'we', 'propose', 'and', 'evaluate', 'two', 'different', 'approaches', 'to', 'updating', 'a', 'query', 'language', 'model', 'based', 'on', 'feedback', 'documents', 'one', 'based', 'on', 'a', 'generative', 'probabilistic', 'model', 'of', 'feedback', 'documents', 'and', 'one', 'based', 'on', 'minimization', 'of', 'the', 'kldivergence', 'over', 'feedback', 'documents', 'experiment', 'results', 'show', 'that', 'both', 'approaches', 'are', 'effective', 'and', 'outperform', 'the', 'rocchio', 'feedback', 'approach']"
448738,Zero Knowledge Proofs of Identity,"['Uriel Feige', 'Amos Fiat', 'Adi Shamir']",1987,STOC,621950,"['622150', '119824', '120007', '1025257']",In this paper we extend the notion of zero knowledge proofs of membership which reveal one bit of information to zero knowledge proofs of knowledge which reveal no information whatsoever After formally defining this notion we show its relevance to identification schemes in which parties prove their identity by demonstrating their knowledge rather than by proving the validity of assertions We describe a novel scheme which is provably secure if factoring is difficult and whose practical implementations are about two orders of magnitude faster than RSAbased identification schemes In the last part of the paper we consider the question of sequential versus parallel executions of zero knowledge protocols define a new notion of ldquotransferable informationrdquo and prove that the parallel version of our identification scheme which is not known to be zero knowledge is secure since it reveals no transferable information,113,3,4,Uriel Feige,"['Amos Fiat', 'Adi Shamir']","['zero', 'knowledge', 'proofs', 'of', 'identity']","['in', 'this', 'paper', 'we', 'extend', 'the', 'notion', 'of', 'zero', 'knowledge', 'proofs', 'of', 'membership', 'which', 'reveal', 'one', 'bit', 'of', 'information', 'to', 'zero', 'knowledge', 'proofs', 'of', 'knowledge', 'which', 'reveal', 'no', 'information', 'whatsoever', 'after', 'formally', 'defining', 'this', 'notion', 'we', 'show', 'its', 'relevance', 'to', 'identification', 'schemes', 'in', 'which', 'parties', 'prove', 'their', 'identity', 'by', 'demonstrating', 'their', 'knowledge', 'rather', 'than', 'by', 'proving', 'the', 'validity', 'of', 'assertions', 'we', 'describe', 'a', 'novel', 'scheme', 'which', 'is', 'provably', 'secure', 'if', 'factoring', 'is', 'difficult', 'and', 'whose', 'practical', 'implementations', 'are', 'about', 'two', 'orders', 'of', 'magnitude', 'faster', 'than', 'rsabased', 'identification', 'schemes', 'in', 'the', 'last', 'part', 'of', 'the', 'paper', 'we', 'consider', 'the', 'question', 'of', 'sequential', 'versus', 'parallel', 'executions', 'of', 'zero', 'knowledge', 'protocols', 'define', 'a', 'new', 'notion', 'of', 'ldquotransferable', 'informationrdquo', 'and', 'prove', 'that', 'the', 'parallel', 'version', 'of', 'our', 'identification', 'scheme', 'which', 'is', 'not', 'known', 'to', 'be', 'zero', 'knowledge', 'is', 'secure', 'since', 'it', 'reveals', 'no', 'transferable', 'information']"
303527,Memory Dependence Prediction Using Store Sets,"['George Z. Chrysos', 'Joel S. Emer']",1998,ISCA,418675,"['110112', '499339', '419217', '499282', '499511', '419441']",For maximum performance an outoforder processor must issue load instructions as early as possible while avoiding memoryorder violations with prior store instructions that write to the same memory location One approach is to use memory dependence prediction to identify the stores upon which a load depends and communicate that information to the instruction scheduler We designate the set of stores upon which each load has depended as the loads store set The processor can discover and use a loads store set to accurately predict the earliest time the load can safely execute We show that store sets accurately predict memory dependencies in the context of large instruction window superscalar machines and allow for nearoptimal performance compared to an instruction scheduler with perfect knowledge of memory dependencies In addition we explore the implementation aspects of store sets and describe a low cost implementation that achieves nearly optimal performance,83,2,6,George Z. Chrysos,['Joel S. Emer'],"['memory', 'dependence', 'prediction', 'using', 'store', 'sets']","['for', 'maximum', 'performance', 'an', 'outoforder', 'processor', 'must', 'issue', 'load', 'instructions', 'as', 'early', 'as', 'possible', 'while', 'avoiding', 'memoryorder', 'violations', 'with', 'prior', 'store', 'instructions', 'that', 'write', 'to', 'the', 'same', 'memory', 'location', 'one', 'approach', 'is', 'to', 'use', 'memory', 'dependence', 'prediction', 'to', 'identify', 'the', 'stores', 'upon', 'which', 'a', 'load', 'depends', 'and', 'communicate', 'that', 'information', 'to', 'the', 'instruction', 'scheduler', 'we', 'designate', 'the', 'set', 'of', 'stores', 'upon', 'which', 'each', 'load', 'has', 'depended', 'as', 'the', 'loads', 'store', 'set', 'the', 'processor', 'can', 'discover', 'and', 'use', 'a', 'loads', 'store', 'set', 'to', 'accurately', 'predict', 'the', 'earliest', 'time', 'the', 'load', 'can', 'safely', 'execute', 'we', 'show', 'that', 'store', 'sets', 'accurately', 'predict', 'memory', 'dependencies', 'in', 'the', 'context', 'of', 'large', 'instruction', 'window', 'superscalar', 'machines', 'and', 'allow', 'for', 'nearoptimal', 'performance', 'compared', 'to', 'an', 'instruction', 'scheduler', 'with', 'perfect', 'knowledge', 'of', 'memory', 'dependencies', 'in', 'addition', 'we', 'explore', 'the', 'implementation', 'aspects', 'of', 'store', 'sets', 'and', 'describe', 'a', 'low', 'cost', 'implementation', 'that', 'achieves', 'nearly', 'optimal', 'performance']"
366041,ApplicationLevel Multicast Using ContentAddressable Networks,"['Sylvia Ratnasamy', 'Mark Handley', 'Richard M. Karp', 'Scott Shenker']",2001,Networked Group Communication,514059,"['539675', '513224', '524377', '525449', '636746', '636771', '636753', '514092', '636750', '525274']",,86,4,10,Sylvia Ratnasamy,"['Mark Handley', 'Richard M. Karp', 'Scott Shenker']","['applicationlevel', 'multicast', 'using', 'contentaddressable', 'networks']",[]
106,An Introduction to Parallel Algorithms,['Joseph JáJá'],1992,,145,[],,214,1,0,Joseph JáJá,[],"['an', 'introduction', 'to', 'parallel', 'algorithms']",[]
14895,Automatic Labeling of Semantic Roles,"['Daniel Gildea', 'Daniel Jurafsky']",2000,ACL,20383,"['19970', '41481', '815577', '797187', '20481', '511350', '41604', '41619', '20904', '21159', '1032709', '817086', '41699', '20764', '20152']",We present a system for identifying the semantic relationships or semantic roles filled by constituents of a sentence within a semantic frame Various lexical and syntactic features are derived from parse trees and used to derive statistical classifiers from handannotated training data,126,2,15,Daniel Gildea,['Daniel Jurafsky'],"['automatic', 'labeling', 'of', 'semantic', 'roles']","['we', 'present', 'a', 'system', 'for', 'identifying', 'the', 'semantic', 'relationships', 'or', 'semantic', 'roles', 'filled', 'by', 'constituents', 'of', 'a', 'sentence', 'within', 'a', 'semantic', 'frame', 'various', 'lexical', 'and', 'syntactic', 'features', 'are', 'derived', 'from', 'parse', 'trees', 'and', 'used', 'to', 'derive', 'statistical', 'classifiers', 'from', 'handannotated', 'training', 'data']"
